Country Code,Country Name,Year,Population,Total Affected,Prevalence Rate %,Drug OD Deaths,Opioid Deaths,Alcohol Deaths,Treatment Centers,Treatment Gap %,Economic Cost (B),Primary Source,Verified
CHN,China,2025,1412000000,25416000,1.8,9884,5930,3106400,2824,93.0,508.3,NNCC China 2024,NO
CIV,Ivory Coast,2019,28160000,688006,2.44,294,176,14250,56,94.2,15.6,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2020,28160000,675793,2.4,288,173,13997,56,90.1,15.0,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2021,28160000,860315,3.06,368,220,17820,56,100.0,18.7,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2022,28160000,700252,2.49,299,179,14505,56,88.4,14.9,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2023,28160000,904667,3.21,386,232,18739,56,99.0,18.8,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2024,28160000,717006,2.55,306,184,14851,56,85.9,14.6,WHO AFRO Health Statistics 2024,NO
CIV,Ivory Coast,2025,28160000,683306,2.43,292,175,14154,56,79.7,13.7,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2019,27910000,709147,2.54,303,182,14688,55,97.9,16.1,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2020,27910000,710707,2.55,304,182,14721,55,95.5,15.8,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2021,27910000,918364,3.29,392,235,19022,55,100.0,20.0,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2022,27910000,926306,3.32,396,238,19187,55,99.5,19.7,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2023,27910000,638120,2.29,272,163,13217,55,79.3,13.3,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2024,27910000,568962,2.04,243,145,11785,55,68.8,11.6,WHO AFRO Health Statistics 2024,NO
CMR,Cameroon,2025,27910000,573900,2.06,245,147,11887,55,67.6,11.5,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2019,99010000,2155144,2.18,923,553,44641,198,84.3,49.0,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2020,99010000,2757783,2.79,1181,709,57124,198,100,61.3,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2021,99010000,3038235,3.07,1301,781,62934,198,100.0,66.0,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2022,99010000,2367882,2.39,1014,608,49048,198,85.1,50.4,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2023,99010000,2359402,2.38,1010,606,48872,198,82.6,49.2,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2024,99010000,1924367,1.94,824,494,39861,198,65.7,39.3,WHO AFRO Health Statistics 2024,NO
COD,DR Congo,2025,99010000,2671291,2.7,1144,686,55333,198,88.6,53.4,WHO AFRO Health Statistics 2024,NO
COG,Congo,2019,5970000,109557,1.84,46,27,2268,11,71.5,2.5,WHO AFRO Health Statistics 2024,NO
COG,Congo,2020,5970000,118352,1.98,50,30,2450,11,74.9,2.6,WHO AFRO Health Statistics 2024,NO
COG,Congo,2021,5970000,131035,2.19,56,33,2714,11,80.4,2.8,WHO AFRO Health Statistics 2024,NO
COG,Congo,2022,5970000,200079,3.35,85,51,4144,11,99.5,4.3,WHO AFRO Health Statistics 2024,NO
COG,Congo,2023,5970000,143073,2.4,60,36,2963,11,83.0,3.0,WHO AFRO Health Statistics 2024,NO
COG,Congo,2024,5970000,162894,2.73,69,41,3374,11,92.0,3.3,WHO AFRO Health Statistics 2024,NO
COG,Congo,2025,5970000,159991,2.68,68,40,3314,11,88.1,3.2,WHO AFRO Health Statistics 2024,NO
COL,Colombia,2019,51870000,2141796,4.13,1274,764,36716,103,100,48.7,OAS/CICAD Report 2024,NO
COL,Colombia,2020,51870000,1492390,2.88,888,532,25583,103,68.7,33.2,OAS/CICAD Report 2024,NO
COL,Colombia,2021,51870000,1492412,2.88,887,532,25583,103,66.8,32.4,OAS/CICAD Report 2024,NO
COL,Colombia,2022,51870000,2302915,4.44,1370,822,39478,103,99.3,49.0,OAS/CICAD Report 2024,NO
COL,Colombia,2023,51870000,1935511,3.73,1152,691,33179,103,81.5,40.3,OAS/CICAD Report 2024,NO
COL,Colombia,2024,51870000,2243654,4.33,1334,800,38462,103,91.9,45.8,OAS/CICAD Report 2024,NO
COL,Colombia,2025,51870000,2693547,5.19,1603,961,46175,103,98.0,53.9,OAS/CICAD Report 2024,NO
COM,Comoros,2019,888000,27837,3.13,11,6,576,10,100,0.6,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2020,888000,18396,2.07,7,4,380,10,78.1,0.4,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2021,888000,17739,2.0,7,4,367,10,73.3,0.4,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2022,888000,29743,3.35,12,7,615,10,99.5,0.6,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2023,888000,16891,1.9,6,4,349,10,66.1,0.4,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2024,888000,29488,3.32,11,7,610,10,98.5,0.6,WHO AFRO Health Statistics 2024,NO
COM,Comoros,2025,888000,31225,3.52,13,7,646,10,98.0,0.6,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2019,593000,15015,2.53,6,3,310,10,97.5,0.3,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2020,593000,14766,2.49,6,3,305,10,93.4,0.3,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2021,593000,16266,2.74,6,3,336,10,100.0,0.4,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2022,593000,13422,2.26,5,3,277,10,80.6,0.3,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2023,593000,15371,2.59,5,3,317,10,89.7,0.3,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2024,593000,17825,3.01,6,4,368,10,98.5,0.4,WHO AFRO Health Statistics 2024,NO
CPV,Cabo Verde,2025,593000,15244,2.57,6,3,315,10,84.5,0.3,WHO AFRO Health Statistics 2024,NO
CRI,Costa Rica,2019,5180000,430692,8.31,911,547,4813,10,97.5,9.8,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2020,5180000,289047,5.58,612,367,3230,10,64.5,6.4,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2021,5180000,346128,6.68,732,439,3867,10,74.6,7.5,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2022,5180000,532240,10.27,1127,676,5948,10,99.5,11.3,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2023,5180000,509471,9.84,1078,646,5693,10,99.0,10.6,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2024,5180000,380584,7.35,805,483,4253,10,75.5,7.8,PAHO/WHO Americas Report 2024,NO
CRI,Costa Rica,2025,5180000,566999,10.95,1200,720,6337,10,98.0,11.3,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2019,11260000,774163,6.88,1638,983,8652,22,81.1,17.6,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2020,11260000,856851,7.61,1814,1088,9576,22,87.1,19.0,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2021,11260000,1009266,8.96,2137,1282,11279,22,99.4,21.9,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2022,11260000,1105121,9.81,2339,1403,12350,22,99.5,23.5,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2023,11260000,1056104,9.38,2235,1341,11803,22,98.7,22.0,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2024,11260000,949289,8.43,2009,1205,10609,22,86.5,19.4,PAHO/WHO Americas Report 2024,NO
CUB,Cuba,2025,11260000,902571,8.02,1911,1146,10087,22,80.2,18.1,PAHO/WHO Americas Report 2024,NO
CYP,Cyprus,2019,1210000,37271,3.08,22,13,904,10,78.0,0.8,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2020,1210000,35109,2.9,21,12,852,10,71.6,0.8,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2021,1210000,50375,4.16,31,18,1222,10,99.0,1.1,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2022,1210000,32280,2.67,19,11,783,10,62.3,0.7,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2023,1210000,44711,3.7,27,16,1085,10,83.5,0.9,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2024,1210000,51411,4.25,31,18,1248,10,93.4,1.0,EMCDDA European Drug Report 2024,NO
CYP,Cyprus,2025,1210000,42612,3.52,26,15,1034,10,75.5,0.9,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2019,10700000,296348,2.77,185,111,7196,21,70.4,6.7,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2020,10700000,372167,3.48,233,139,9037,21,85.3,8.3,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2021,10700000,335876,3.14,210,126,8156,21,75.1,7.3,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2022,10700000,456530,4.27,286,172,11086,21,98.8,9.7,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2023,10700000,453212,4.24,284,170,11006,21,95.5,9.4,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2024,10700000,353875,3.31,221,132,8593,21,72.8,7.2,EMCDDA European Drug Report 2024,NO
CZE,Czech Republic,2025,10700000,380532,3.56,239,143,9241,21,76.2,7.6,EMCDDA European Drug Report 2024,NO
DEU,Germany,2019,83200000,3075072,3.7,1237,1398,651622,665,73.0,69.9,Drogenbeauftragter der Bundesregierung,YES
DEU,Germany,2020,83200000,3144960,3.78,1581,1581,666432,665,72.5,69.9,BfArM/Drogenbeauftragter,YES
DEU,Germany,2021,83200000,3214848,3.86,1826,1826,681241,665,72.0,69.9,BfArM/Drogenbeauftragter,YES
DEU,Germany,2022,83200000,3284736,3.95,1990,1990,696051,665,71.5,69.9,BfArM/Drogenbeauftragter,YES
DEU,Germany,2023,83200000,3354624,4.03,2156,1293,710860,665,71.0,69.9,DBDD Germany 2024,NO
DEU,Germany,2024,83200000,3424512,4.12,2201,1320,725670,665,70.5,69.9,DBDD Germany 2024,NO
DEU,Germany,2025,83200000,3494400,4.2,2246,1347,740480,665,70.0,69.9,DBDD Germany 2024,NO
DJI,Djibouti,2019,1120000,32813,2.93,13,7,679,10,100,0.7,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2020,1120000,23427,2.09,9,5,485,10,78.9,0.5,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2021,1120000,29259,2.61,11,7,605,10,95.3,0.6,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2022,1120000,27774,2.48,11,6,575,10,88.2,0.6,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2023,1120000,32448,2.9,13,8,672,10,99.0,0.7,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2024,1120000,39705,3.55,16,9,822,10,98.5,0.8,WHO AFRO Health Statistics 2024,NO
DJI,Djibouti,2025,1120000,28624,2.56,12,7,592,10,84.0,0.6,WHO AFRO Health Statistics 2024,NO
DMA,Dominica,2019,72000,6060,8.42,12,7,66,10,98.7,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2020,72000,3960,5.5,8,4,44,10,63.6,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2021,72000,5080,7.06,10,6,56,10,78.7,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2022,72000,5231,7.27,10,6,58,10,78.8,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2023,72000,6294,8.74,12,7,70,10,92.1,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2024,72000,7003,9.73,14,8,77,10,98.5,0.1,PAHO/WHO Americas Report 2024,NO
DMA,Dominica,2025,72000,5117,7.11,10,6,57,10,71.1,0.1,PAHO/WHO Americas Report 2024,NO
DNK,Denmark,2019,5860000,152863,2.61,95,57,3711,11,66.5,3.5,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2020,5860000,219627,3.75,137,82,5333,11,91.7,4.9,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2021,5860000,175206,2.99,109,65,4255,11,71.6,3.8,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2022,5860000,245246,4.19,153,91,5955,11,96.9,5.2,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2023,5860000,186581,3.18,117,70,4531,11,72.1,3.9,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2024,5860000,251437,4.29,157,94,6105,11,94.3,5.1,EMCDDA European Drug Report 2024,NO
DNK,Denmark,2025,5860000,224653,3.83,141,84,5455,11,82.2,4.5,EMCDDA European Drug Report 2024,NO
DOM,Dominican Republic,2019,11120000,921974,8.29,1951,1171,10303,22,97.2,21.0,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2020,11120000,645372,5.8,1366,819,7212,22,67.0,14.3,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2021,11120000,775094,6.97,1641,984,8662,22,77.8,16.8,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2022,11120000,775873,6.98,1642,985,8671,22,75.7,16.5,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2023,11120000,1160709,10.44,2457,1474,12972,22,99.0,24.2,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2024,11120000,1171387,10.53,2480,1488,13091,22,98.5,23.9,PAHO/WHO Americas Report 2024,NO
DOM,Dominican Republic,2025,11120000,880800,7.92,1865,1119,9844,22,79.2,17.6,PAHO/WHO Americas Report 2024,NO
DZA,Algeria,2019,45610000,869066,1.91,372,223,18001,91,74.1,19.8,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2020,45610000,1348919,2.96,577,346,27941,91,100,30.0,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2021,45610000,1226478,2.69,525,315,25404,91,98.0,26.7,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2022,45610000,1276548,2.8,547,328,26442,91,99.3,27.2,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2023,45610000,1058869,2.32,453,271,21933,91,80.5,22.1,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2024,45610000,1589865,3.49,681,408,32932,91,98.5,32.4,WHO AFRO Health Statistics 2024,NO
DZA,Algeria,2025,45610000,1604674,3.52,687,412,33239,91,98.0,32.1,WHO AFRO Health Statistics 2024,NO
ECU,Ecuador,2019,18000000,610286,3.39,362,217,10461,36,82.8,13.9,OAS/CICAD Report 2024,NO
ECU,Ecuador,2020,18000000,768544,4.27,457,274,13174,36,100,17.1,OAS/CICAD Report 2024,NO
ECU,Ecuador,2021,18000000,595583,3.31,354,212,10209,36,76.5,12.9,OAS/CICAD Report 2024,NO
ECU,Ecuador,2022,18000000,656609,3.65,390,234,11255,36,81.9,14.0,OAS/CICAD Report 2024,NO
ECU,Ecuador,2023,18000000,749182,4.16,445,267,12842,36,90.8,15.6,OAS/CICAD Report 2024,NO
ECU,Ecuador,2024,18000000,675426,3.75,401,241,11578,36,79.8,13.8,OAS/CICAD Report 2024,NO
ECU,Ecuador,2025,18000000,769346,4.27,457,274,13188,36,88.5,15.4,OAS/CICAD Report 2024,NO
EGY,Egypt,2019,109300000,3443586,3.15,1475,885,71331,218,100,78.3,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2020,109300000,2045668,1.87,876,525,42373,218,70.8,45.5,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2021,109300000,3277551,3.0,1403,842,67891,218,100.0,71.3,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2022,109300000,3537615,3.24,1515,909,73278,218,99.5,75.3,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2023,109300000,2626849,2.4,1125,675,54412,218,83.3,54.7,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2024,109300000,3819296,3.49,1636,981,79113,218,98.5,77.9,WHO AFRO Health Statistics 2024,NO
EGY,Egypt,2025,109300000,3356547,3.07,1438,862,69528,218,98.0,67.1,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2019,3680000,101950,2.77,43,25,2111,10,100,2.3,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2020,3680000,81999,2.23,35,21,1698,10,83.8,1.8,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2021,3680000,118236,3.21,50,30,2449,10,100.0,2.6,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2022,3680000,123396,3.35,52,31,2555,10,99.5,2.6,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2023,3680000,115092,3.13,48,29,2383,10,99.0,2.4,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2024,3680000,97798,2.66,41,24,2025,10,89.6,2.0,WHO AFRO Health Statistics 2024,NO
ERI,Eritrea,2025,3680000,75144,2.04,32,19,1556,10,67.1,1.5,WHO AFRO Health Statistics 2024,NO
ESP,Spain,2019,47420000,1418806,2.99,800,640,138124,379,77.0,32.2,DGPNSD Spain,YES
ESP,Spain,2020,47420000,1451052,3.06,850,680,141264,379,76.5,32.2,DGPNSD Spain,YES
ESP,Spain,2021,47420000,1483297,3.13,900,720,144403,379,76.0,32.2,DGPNSD Spain,YES
ESP,Spain,2022,47420000,1515543,3.2,950,760,147542,379,75.5,32.2,DGPNSD Spain,YES
ESP,Spain,2023,47420000,1547788,3.26,1001,600,150681,379,75.0,32.2,PNSD Spain 2024,NO
ESP,Spain,2024,47420000,1580034,3.33,1022,613,153820,379,74.5,32.2,PNSD Spain 2024,NO
ESP,Spain,2025,47420000,1612280,3.4,1043,625,156960,379,74.0,32.2,PNSD Spain 2024,NO
EST,Estonia,2019,1330000,43374,3.26,26,15,1053,10,82.4,1.0,EMCDDA European Drug Report 2024,NO
EST,Estonia,2020,1330000,47025,3.54,28,17,1141,10,86.7,1.0,EMCDDA European Drug Report 2024,NO
EST,Estonia,2021,1330000,40399,3.04,24,14,980,10,72.8,0.9,EMCDDA European Drug Report 2024,NO
EST,Estonia,2022,1330000,55248,4.15,33,20,1341,10,96.2,1.2,EMCDDA European Drug Report 2024,NO
EST,Estonia,2023,1330000,53052,3.99,32,19,1288,10,90.0,1.1,EMCDDA European Drug Report 2024,NO
EST,Estonia,2024,1330000,48196,3.62,29,17,1170,10,79.7,1.0,EMCDDA European Drug Report 2024,NO
EST,Estonia,2025,1330000,44182,3.32,27,16,1073,10,71.2,0.9,EMCDDA European Drug Report 2024,NO
ETH,Ethiopia,2019,123380000,2246331,1.82,961,577,46530,246,71.0,51.1,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2020,123380000,2453097,1.99,1051,630,50814,246,75.1,54.5,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2021,123380000,3751242,3.04,1607,964,77704,246,100.0,81.5,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2022,123380000,4185111,3.39,1793,1076,86691,246,99.5,89.0,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2023,123380000,3658620,2.97,1567,940,75785,246,99.0,76.2,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2024,123380000,2534819,2.05,1085,651,52506,246,69.4,51.7,WHO AFRO Health Statistics 2024,NO
ETH,Ethiopia,2025,123380000,3065614,2.48,1313,787,63502,246,81.6,61.3,WHO AFRO Health Statistics 2024,NO
FIN,Finland,2019,5540000,158383,2.86,99,59,3845,11,72.6,3.6,EMCDDA European Drug Report 2024,NO
FIN,Finland,2020,5540000,161861,2.92,101,61,3930,11,72.1,3.6,EMCDDA European Drug Report 2024,NO
FIN,Finland,2021,5540000,195787,3.53,122,73,4754,11,84.3,4.3,EMCDDA European Drug Report 2024,NO
FIN,Finland,2022,5540000,226016,4.08,141,85,5488,11,94.5,4.8,EMCDDA European Drug Report 2024,NO
FIN,Finland,2023,5540000,229898,4.15,144,86,5582,11,93.6,4.8,EMCDDA European Drug Report 2024,NO
FIN,Finland,2024,5540000,215968,3.9,135,81,5243,11,85.7,4.4,EMCDDA European Drug Report 2024,NO
FIN,Finland,2025,5540000,181063,3.27,113,67,4397,11,70.0,3.6,EMCDDA European Drug Report 2024,NO
FJI,Fiji,2019,930000,44744,4.81,49,29,601,10,76.5,1.0,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2020,930000,43367,4.66,48,29,583,10,72.2,1.0,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2021,930000,41701,4.48,46,27,560,10,67.5,0.9,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2022,930000,42031,4.52,47,28,564,10,66.2,0.9,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2023,930000,48191,5.18,53,32,648,10,73.6,1.0,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2024,930000,56016,6.02,62,37,752,10,83.2,1.1,AIHW/WHO WPRO 2024,NO
FJI,Fiji,2025,930000,47012,5.06,52,31,632,10,68.0,0.9,AIHW/WHO WPRO 2024,NO
FRA,France,2019,67750000,2444420,3.61,503,432,360700,542,75.0,55.6,OFDT,YES
FRA,France,2020,67750000,2499975,3.69,520,450,368898,542,74.5,55.6,OFDT,YES
FRA,France,2021,67750000,2555530,3.77,560,480,377096,542,74.0,55.6,OFDT,YES
FRA,France,2022,67750000,2611085,3.85,600,510,385293,542,73.5,55.6,OFDT,YES
FRA,France,2023,67750000,2666640,3.94,520,312,393491,542,73.0,55.6,OFDT France 2024,NO
FRA,France,2024,67750000,2722195,4.02,531,318,401689,542,72.5,55.6,OFDT France 2024,NO
FRA,France,2025,67750000,2777750,4.1,542,325,409887,542,72.0,55.6,OFDT France 2024,NO
FSM,Micronesia,2019,115000,7104,6.18,7,4,95,10,97.4,0.2,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2020,115000,4823,4.19,5,3,64,10,65.2,0.1,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2021,115000,5311,4.62,5,3,70,10,69.5,0.1,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2022,115000,7696,6.69,8,5,103,10,97.3,0.2,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2023,115000,5280,4.59,5,3,70,10,65.3,0.1,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2024,115000,7587,6.6,7,4,101,10,91.0,0.2,AIHW/WHO WPRO 2024,NO
FSM,Micronesia,2025,115000,5905,5.14,6,3,79,10,69.1,0.1,AIHW/WHO WPRO 2024,NO
GAB,Gabon,2019,2390000,72695,3.04,30,18,1505,10,100,1.7,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2020,2390000,54388,2.28,22,13,1125,10,85.6,1.2,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2021,2390000,49539,2.07,21,12,1025,10,76.0,1.1,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2022,2390000,67131,2.81,28,16,1390,10,99.5,1.4,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2023,2390000,56519,2.36,24,14,1170,10,81.9,1.2,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2024,2390000,52396,2.19,21,12,1084,10,74.0,1.1,WHO AFRO Health Statistics 2024,NO
GAB,Gabon,2025,2390000,71187,2.98,30,18,1474,10,97.9,1.4,WHO AFRO Health Statistics 2024,NO
GBR,United Kingdom,2019,67330000,2844019,4.22,4393,2883,82950,538,81.0,64.6,ONS Deaths related to drug poisoning,YES
GBR,United Kingdom,2020,67330000,2908656,4.32,4561,2996,84835,538,80.5,64.6,ONS,YES
GBR,United Kingdom,2021,67330000,2973292,4.42,4859,3200,86721,538,80.0,64.6,ONS,YES
GBR,United Kingdom,2022,67330000,3037929,4.51,4907,3100,88606,538,79.5,64.6,ONS,YES
GBR,United Kingdom,2023,67330000,3102566,4.61,4718,2831,90491,538,79.0,64.6,ONS UK 2024,NO
GBR,United Kingdom,2024,67330000,3167203,4.7,4816,2890,92376,538,78.5,64.6,ONS UK 2024,NO
GBR,United Kingdom,2025,67330000,3231840,4.8,4915,2949,94262,538,78.0,64.6,ONS UK 2024,NO
GEO,Georgia,2019,3710000,67023,1.81,25,15,1436,10,89.0,1.5,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2020,3710000,50244,1.35,18,11,1076,10,65.6,1.1,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2021,3710000,64731,1.74,23,14,1386,10,81.5,1.4,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2022,3710000,77015,2.08,29,17,1649,10,94.0,1.6,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2023,3710000,55368,1.49,20,12,1185,10,66.1,1.2,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2024,3710000,96171,2.59,36,21,2059,10,98.5,2.0,WHO SEARO/WPRO Reports 2024,NO
GEO,Georgia,2025,3710000,63773,1.72,24,14,1366,10,72.0,1.3,WHO SEARO/WPRO Reports 2024,NO
GHA,Ghana,2019,33480000,751014,2.24,321,192,15556,66,86.8,17.1,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2020,33480000,740522,2.21,316,190,15338,66,83.2,16.5,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2021,33480000,972706,2.91,416,250,20148,66,100.0,21.1,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2022,33480000,782012,2.34,334,200,16198,66,83.1,16.6,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2023,33480000,772421,2.31,330,198,15999,66,80.0,16.1,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2024,33480000,1076649,3.22,460,276,22301,66,98.5,22.0,WHO AFRO Health Statistics 2024,NO
GHA,Ghana,2025,33480000,1187297,3.55,508,304,24594,66,98.0,23.7,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2019,13860000,262256,1.89,111,67,5432,27,73.6,6.0,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2020,13860000,346917,2.5,148,89,7185,27,93.9,7.7,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2021,13860000,312257,2.25,133,80,6467,27,82.5,6.8,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2022,13860000,459169,3.31,196,117,9510,27,99.5,9.8,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2023,13860000,263412,1.9,112,67,5455,27,66.0,5.5,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2024,13860000,488928,3.53,208,125,10127,27,98.5,10.0,WHO AFRO Health Statistics 2024,NO
GIN,Guinea,2025,13860000,385327,2.78,165,99,7981,27,91.3,7.7,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2019,2640000,73520,2.78,30,18,1522,10,100,1.7,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2020,2640000,79749,3.02,33,19,1651,10,100,1.8,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2021,2640000,69688,2.64,29,17,1443,10,96.3,1.5,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2022,2640000,83666,3.17,35,21,1732,10,99.5,1.8,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2023,2640000,86892,3.29,36,21,1799,10,99.0,1.8,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2024,2640000,84729,3.21,36,21,1754,10,98.5,1.7,WHO AFRO Health Statistics 2024,NO
GMB,Gambia,2025,2640000,64549,2.45,27,16,1337,10,80.3,1.3,WHO AFRO Health Statistics 2024,NO
GNB,Guinea-Bissau,2019,2060000,45916,2.23,19,11,950,10,86.2,1.0,WHO AFRO Health Statistics 2024,NO
GNB,Guinea-Bissau,2020,2060000,56190,2.73,23,14,1163,10,100,1.2,WHO AFRO Health Statistics 2024,NO
